symbol,timeframe,strategy,category,train_bars,long_signals,short_signals,total_signals
AUDJPY,M30,EMACrossoverStrategy,trend,34853,739,740,1479
AUDJPY,M30,SupertrendStrategy,trend,34853,37,37,74
AUDJPY,M30,MACDTrendStrategy,trend,34853,1393,1394,2787
AUDJPY,M30,ADXTrendStrategy,trend,34853,807,824,1631
AUDJPY,M30,IchimokuStrategy,trend,34853,384,288,672
AUDJPY,M30,HullMATrendStrategy,trend,34853,2005,2006,4011
AUDJPY,M30,RSIExtremesStrategy,mr,34853,939,1206,2145
AUDJPY,M30,BollingerBounceStrategy,mr,34853,1539,1527,3066
AUDJPY,M30,ZScoreMRStrategy,mr,34853,915,1094,2009
AUDJPY,M30,StochasticReversalStrategy,mr,34853,2352,3204,5556
AUDJPY,M30,CCIReversalStrategy,mr,34853,1544,1739,3283
AUDJPY,M30,WilliamsRStrategy,mr,34853,2065,2594,4659
AUDJPY,M30,DonchianBreakoutStrategy,breakout,34853,2390,1646,4036
AUDJPY,M30,VolatilityBreakoutStrategy,breakout,34853,564,612,1176
AUDJPY,M30,MomentumBurstStrategy,breakout,34853,1267,1354,2621
AUDJPY,M30,SqueezeBreakoutStrategy,breakout,34853,734,570,1304
AUDJPY,M30,KeltnerBreakoutStrategy,breakout,34853,2531,2077,4608
AUDJPY,M30,PivotBreakoutStrategy,breakout,34853,5860,5620,11480
AUDJPY,H1,EMACrossoverStrategy,trend,17357,348,348,696
AUDJPY,H1,SupertrendStrategy,trend,17357,21,20,41
AUDJPY,H1,MACDTrendStrategy,trend,17357,670,670,1340
AUDJPY,H1,ADXTrendStrategy,trend,17357,393,408,801
AUDJPY,H1,IchimokuStrategy,trend,17357,203,144,347
AUDJPY,H1,HullMATrendStrategy,trend,17357,951,952,1903
AUDJPY,H1,RSIExtremesStrategy,mr,17357,463,647,1110
AUDJPY,H1,BollingerBounceStrategy,mr,17357,753,709,1462
AUDJPY,H1,ZScoreMRStrategy,mr,17357,437,521,958
AUDJPY,H1,StochasticReversalStrategy,mr,17357,1160,1676,2836
AUDJPY,H1,CCIReversalStrategy,mr,17357,764,903,1667
AUDJPY,H1,WilliamsRStrategy,mr,17357,1004,1306,2310
AUDJPY,H1,DonchianBreakoutStrategy,breakout,17357,1230,809,2039
AUDJPY,H1,VolatilityBreakoutStrategy,breakout,17357,227,310,537
AUDJPY,H1,MomentumBurstStrategy,breakout,17357,1303,1279,2582
AUDJPY,H1,SqueezeBreakoutStrategy,breakout,17357,362,316,678
AUDJPY,H1,KeltnerBreakoutStrategy,breakout,17357,1398,1020,2418
AUDJPY,H1,PivotBreakoutStrategy,breakout,17357,2968,2735,5703
AUDJPY,H4,EMACrossoverStrategy,trend,4237,97,97,194
AUDJPY,H4,SupertrendStrategy,trend,4237,3,4,7
AUDJPY,H4,MACDTrendStrategy,trend,4237,169,169,338
AUDJPY,H4,ADXTrendStrategy,trend,4237,101,107,208
AUDJPY,H4,IchimokuStrategy,trend,4237,55,37,92
AUDJPY,H4,HullMATrendStrategy,trend,4237,222,221,443
AUDJPY,H4,RSIExtremesStrategy,mr,4237,106,169,275
AUDJPY,H4,BollingerBounceStrategy,mr,4237,172,169,341
AUDJPY,H4,ZScoreMRStrategy,mr,4237,107,134,241
AUDJPY,H4,StochasticReversalStrategy,mr,4237,265,426,691
AUDJPY,H4,CCIReversalStrategy,mr,4237,158,224,382
AUDJPY,H4,WilliamsRStrategy,mr,4237,228,325,553
AUDJPY,H4,DonchianBreakoutStrategy,breakout,4237,330,199,529
AUDJPY,H4,VolatilityBreakoutStrategy,breakout,4237,55,68,123
AUDJPY,H4,MomentumBurstStrategy,breakout,4237,802,619,1421
AUDJPY,H4,SqueezeBreakoutStrategy,breakout,4237,88,70,158
AUDJPY,H4,KeltnerBreakoutStrategy,breakout,4237,391,216,607
AUDJPY,H4,PivotBreakoutStrategy,breakout,4237,732,635,1367
AUDJPY,D1,EMACrossoverStrategy,trend,590,15,16,31
AUDJPY,D1,SupertrendStrategy,trend,590,0,0,0
AUDJPY,D1,MACDTrendStrategy,trend,590,23,24,47
AUDJPY,D1,ADXTrendStrategy,trend,590,11,14,25
AUDJPY,D1,IchimokuStrategy,trend,590,7,4,11
AUDJPY,D1,HullMATrendStrategy,trend,590,42,42,84
