symbol,timeframe,strategy,category,total_trades,win_rate,total_return_pct,max_drawdown_pct,profit_factor,sharpe_ratio,expectancy_pips,composite_score
AUDJPY,M30,EMACrossoverStrategy,trend,807,49.19,371.91,13.91,1.33,2.16,7.9,61.75
AUDJPY,M30,SupertrendStrategy,trend,74,85.14,202.96,2.12,13.55,21.34,36.35,97.77
AUDJPY,M30,MACDTrendStrategy,trend,1329,49.81,1465.42,11.98,1.31,1.73,7.71,59.98
AUDJPY,M30,ADXTrendStrategy,trend,794,39.42,203.57,19.82,1.18,1.18,7.74,46.51
AUDJPY,M30,IchimokuStrategy,trend,426,41.78,26.28,16.14,1.09,0.64,3.31,29.47
AUDJPY,M30,HullMATrendStrategy,trend,1169,42.86,418.15,19.52,1.22,1.4,6.47,55.72
AUDJPY,M30,RSIExtremesStrategy,mr,1582,54.3,3100.9,14.52,1.45,2.21,6.38,60.65
AUDJPY,M30,BollingerBounceStrategy,mr,1842,46.91,3976.88,26.6,1.39,1.8,5.43,42.4
AUDJPY,M30,ZScoreMRStrategy,mr,1716,49.18,461.41,21.13,1.16,1.08,3.53,45.89
AUDJPY,M30,StochasticReversalStrategy,mr,2602,38.55,-40.62,62.18,0.97,-0.24,1.02,11.93
AUDJPY,M30,CCIReversalStrategy,mr,2210,52.67,5549.17,19.86,1.32,1.58,5.42,56.46
AUDJPY,M30,WilliamsRStrategy,mr,2645,53.8,23929.14,16.4,1.36,1.61,5.87,57.49
AUDJPY,M30,DonchianBreakoutStrategy,breakout,1215,50.95,34932.83,10.03,1.97,2.98,16.52,69.37
AUDJPY,M30,VolatilityBreakoutStrategy,breakout,1009,72.65,136563.47,3.21,5.51,8.99,26.71,86.92
AUDJPY,M30,MomentumBurstStrategy,breakout,722,48.2,1845.42,11.94,1.74,3.21,16.28,69.32
AUDJPY,M30,SqueezeBreakoutStrategy,breakout,780,37.05,75.25,28.18,1.09,0.65,3.6,22.7
AUDJPY,M30,KeltnerBreakoutStrategy,breakout,1393,53.98,72959.43,9.0,2.39,4.17,14.29,74.91
AUDJPY,M30,PivotBreakoutStrategy,breakout,2682,58.35,185476.26,7.12,2.25,4.88,12.88,77.82
AUDJPY,H1,EMACrossoverStrategy,trend,410,46.34,70.32,20.57,1.21,1.45,7.12,36.71
AUDJPY,H1,SupertrendStrategy,trend,41,90.24,97.79,1.04,19.8,28.52,60.79,98.54
AUDJPY,H1,MACDTrendStrategy,trend,668,50.0,342.0,10.04,1.47,2.8,13.62,67.58
AUDJPY,H1,ADXTrendStrategy,trend,405,40.99,123.51,13.67,1.32,2.03,11.7,52.22
AUDJPY,H1,IchimokuStrategy,trend,218,45.41,40.48,9.22,1.3,2.03,12.12,48.19
AUDJPY,H1,HullMATrendStrategy,trend,580,43.97,184.45,18.68,1.28,1.8,11.89,52.6
AUDJPY,H1,RSIExtremesStrategy,mr,833,53.66,506.91,11.4,1.41,2.41,8.88,64.94
AUDJPY,H1,BollingerBounceStrategy,mr,918,45.32,372.84,16.67,1.28,1.77,7.05,58.4
AUDJPY,H1,ZScoreMRStrategy,mr,840,49.29,162.9,18.29,1.21,1.43,5.02,43.5
AUDJPY,H1,StochasticReversalStrategy,mr,1336,40.04,52.42,28.19,1.04,0.33,2.8,20.6
AUDJPY,H1,CCIReversalStrategy,mr,1136,54.14,1235.98,12.89,1.44,2.42,9.42,65.92
AUDJPY,H1,WilliamsRStrategy,mr,1338,54.78,2471.01,18.06,1.43,2.16,9.38,65.0
AUDJPY,H1,DonchianBreakoutStrategy,breakout,647,53.32,3823.93,10.78,2.01,3.85,26.03,72.91
AUDJPY,H1,VolatilityBreakoutStrategy,breakout,478,75.1,31963.22,4.03,6.51,7.07,40.42,89.28
AUDJPY,H1,MomentumBurstStrategy,breakout,570,47.37,813.9,11.66,1.66,3.3,20.85,69.35
AUDJPY,H1,SqueezeBreakoutStrategy,breakout,383,35.77,17.69,22.67,1.06,0.41,3.76,24.76
AUDJPY,H1,KeltnerBreakoutStrategy,breakout,723,57.95,15448.22,8.09,2.74,4.53,23.96,77.49
AUDJPY,H1,PivotBreakoutStrategy,breakout,1372,59.26,78623.74,9.3,2.31,4.13,19.04,75.4
AUDJPY,H4,EMACrossoverStrategy,trend,98,45.92,12.07,12.61,1.21,1.49,6.85,38.0
AUDJPY,H4,MACDTrendStrategy,trend,148,49.32,36.0,9.15,1.43,2.77,21.86,51.23
AUDJPY,H4,ADXTrendStrategy,trend,90,46.67,38.62,7.84,1.67,3.88,33.07,56.27
AUDJPY,H4,IchimokuStrategy,trend,57,40.35,0.54,12.23,1.02,0.11,4.42,27.3
AUDJPY,H4,HullMATrendStrategy,trend,134,47.76,47.01,6.74,1.55,3.36,29.59,56.38
AUDJPY,H4,RSIExtremesStrategy,mr,216,62.96,159.8,9.9,2.13,5.77,30.59,74.85
AUDJPY,H4,BollingerBounceStrategy,mr,211,48.82,77.54,8.14,1.51,3.16,25.5,58.3
AUDJPY,H4,ZScoreMRStrategy,mr,211,53.08,56.52,7.58,1.49,3.12,20.27,56.68
AUDJPY,H4,StochasticReversalStrategy,mr,362,43.65,64.14,19.56,1.23,1.56,14.08,45.0
AUDJPY,H4,CCIReversalStrategy,mr,275,57.09,137.5,7.59,1.68,4.02,25.57,71.54
AUDJPY,H4,WilliamsRStrategy,mr,331,60.42,258.16,5.94,1.98,5.09,28.27,78.02
AUDJPY,H4,DonchianBreakoutStrategy,breakout,165,49.09,112.15,6.13,1.96,5.02,34.55,74.58
AUDJPY,H4,VolatilityBreakoutStrategy,breakout,106,66.98,183.04,3.99,4.11,10.75,61.77,83.27
AUDJPY,H4,MomentumBurstStrategy,breakout,173,46.82,91.8,7.85,1.74,4.16,28.86,64.2
AUDJPY,H4,SqueezeBreakoutStrategy,breakout,86,39.53,14.15,14.58,1.24,1.63,17.67,42.34
AUDJPY,H4,KeltnerBreakoutStrategy,breakout,187,59.36,309.5,5.17,2.88,7.61,48.5,79.66
AUDJPY,H4,PivotBreakoutStrategy,breakout,373,62.73,1010.19,6.67,2.75,6.65,45.02,79.91
AUDJPY,D1,RSIExtremesStrategy,mr,20,55.0,6.23,2.98,1.69,4.14,38.13,55.65
AUDJPY,D1,BollingerBounceStrategy,mr,29,44.83,6.17,4.93,1.39,2.51,23.79,46.86
AUDJPY,D1,ZScoreMRStrategy,mr,20,60.0,8.05,2.99,1.98,5.49,77.85,60.65
AUDJPY,D1,StochasticReversalStrategy,mr,36,47.22,9.2,3.09,1.45,2.87,46.18,50.35
AUDJPY,D1,CCIReversalStrategy,mr,28,64.29,14.24,2.0,2.3,6.75,78.17,66.36
AUDJPY,D1,WilliamsRStrategy,mr,37,64.86,19.77,2.0,2.39,7.05,85.81,69.39
AUDJPY,D1,DonchianBreakoutStrategy,breakout,22,45.45,7.96,4.92,1.61,3.64,57.36,51.8
AUDJPY,D1,MomentumBurstStrategy,breakout,23,43.48,7.21,4.92,1.55,3.29,44.57,49.98
AUDJPY,D1,KeltnerBreakoutStrategy,breakout,21,57.14,14.81,2.99,2.55,7.26,118.58,63.62
AUDJPY,D1,PivotBreakoutStrategy,breakout,42,78.57,54.83,1.01,5.64,14.59,178.77,88.07
AUDNZD,M30,EMACrossoverStrategy,trend,894,42.73,-20.47,47.34,0.96,-0.33,1.77,12.91
AUDNZD,M30,SupertrendStrategy,trend,73,78.08,144.76,4.3,6.75,15.67,19.97,90.21
AUDNZD,M30,MACDTrendStrategy,trend,1286,38.57,-81.22,81.47,0.83,-1.38,-0.03,8.17
AUDNZD,M30,ADXTrendStrategy,trend,843,33.1,-59.55,64.39,0.88,-0.98,0.77,9.36
AUDNZD,M30,IchimokuStrategy,trend,486,35.6,-50.93,52.37,0.79,-1.85,-1.29,5.73
AUDNZD,M30,HullMATrendStrategy,trend,1206,33.83,-85.91,86.95,0.81,-1.47,-0.5,7.11
AUDNZD,M30,RSIExtremesStrategy,mr,1559,45.99,-53.21,68.02,0.94,-0.47,1.41,12.35
AUDNZD,M30,BollingerBounceStrategy,mr,1893,42.05,-4.31,54.92,1.0,-0.02,1.65,13.67
AUDNZD,M30,ZScoreMRStrategy,mr,1703,45.92,-54.09,71.12,0.94,-0.46,1.21,12.19
AUDNZD,M30,StochasticReversalStrategy,mr,2598,36.34,-98.16,98.22,0.82,-1.14,-0.08,8.43
AUDNZD,M30,CCIReversalStrategy,mr,2391,46.34,-57.89,79.16,0.96,-0.28,1.29,12.73
AUDNZD,M30,WilliamsRStrategy,mr,2731,48.44,36.8,49.43,1.01,0.1,1.96,15.28
AUDNZD,M30,DonchianBreakoutStrategy,breakout,1090,42.02,498.0,24.53,1.27,1.64,5.25,49.25
AUDNZD,M30,VolatilityBreakoutStrategy,breakout,815,61.35,18896.46,5.41,2.77,5.58,11.51,79.74
AUDNZD,M30,MomentumBurstStrategy,breakout,90,48.89,43.79,6.83,1.82,4.54,13.13,60.74
AUDNZD,M30,SqueezeBreakoutStrategy,breakout,785,28.92,-82.74,83.5,0.67,-2.75,-1.85,4.15
AUDNZD,M30,KeltnerBreakoutStrategy,breakout,1025,43.71,585.73,26.6,1.24,1.46,4.65,40.03
AUDNZD,M30,PivotBreakoutStrategy,breakout,2598,47.15,3345.59,33.86,1.12,0.68,3.64,29.61
AUDNZD,H1,EMACrossoverStrategy,trend,421,43.71,11.5,17.99,1.05,0.34,2.33,26.15
AUDNZD,H1,SupertrendStrategy,trend,31,74.19,42.34,2.16,5.15,13.8,25.5,86.03
AUDNZD,H1,MACDTrendStrategy,trend,633,46.13,70.65,17.3,1.13,0.92,4.4,35.29
AUDNZD,H1,ADXTrendStrategy,trend,398,31.91,-36.6,49.2,0.86,-1.11,-0.06,8.31
AUDNZD,H1,IchimokuStrategy,trend,227,33.92,-32.25,32.91,0.76,-2.17,-2.85,3.81
AUDNZD,H1,HullMATrendStrategy,trend,602,39.2,7.55,25.86,1.02,0.14,2.6,18.57
AUDNZD,H1,RSIExtremesStrategy,mr,782,47.31,12.11,22.94,1.02,0.18,2.31,23.32
AUDNZD,H1,BollingerBounceStrategy,mr,951,42.17,38.37,33.1,1.06,0.44,2.4,16.15
AUDNZD,H1,ZScoreMRStrategy,mr,821,45.31,-21.12,44.09,0.96,-0.32,1.57,12.96
AUDNZD,H1,StochasticReversalStrategy,mr,1269,37.83,-63.96,69.75,0.88,-0.9,0.37,9.6
AUDNZD,H1,CCIReversalStrategy,mr,1186,48.06,47.86,25.65,1.05,0.35,2.42,21.15
AUDNZD,H1,WilliamsRStrategy,mr,1322,52.34,475.61,10.7,1.21,1.42,4.23,53.83
AUDNZD,H1,DonchianBreakoutStrategy,breakout,535,45.98,414.72,14.81,1.46,2.63,9.82,66.08
AUDNZD,H1,VolatilityBreakoutStrategy,breakout,360,66.39,2457.22,4.31,3.84,7.37,18.67,82.64
AUDNZD,H1,MomentumBurstStrategy,breakout,139,45.32,52.67,12.69,1.62,3.59,10.81,54.15
AUDNZD,H1,SqueezeBreakoutStrategy,breakout,387,31.27,-39.92,49.23,0.85,-1.25,-0.37,7.62
AUDNZD,H1,KeltnerBreakoutStrategy,breakout,502,51.0,817.61,9.46,1.69,3.52,10.11,70.74
AUDNZD,H1,PivotBreakoutStrategy,breakout,1287,50.66,2828.46,23.11,1.34,1.71,6.69,52.71
AUDNZD,H4,EMACrossoverStrategy,trend,103,50.49,26.13,6.81,1.43,2.84,12.92,51.56
AUDNZD,H4,MACDTrendStrategy,trend,162,48.15,30.95,8.45,1.3,2.07,10.89,48.02
AUDNZD,H4,ADXTrendStrategy,trend,98,39.8,14.75,7.91,1.21,1.45,7.9,39.43
AUDNZD,H4,IchimokuStrategy,trend,56,46.43,10.37,5.93,1.3,2.07,12.42,45.85
AUDNZD,H4,HullMATrendStrategy,trend,141,43.97,27.36,6.77,1.3,2.03,9.34,46.64
AUDNZD,H4,RSIExtremesStrategy,mr,193,59.07,87.43,9.61,1.71,4.22,13.79,63.59
AUDNZD,H4,BollingerBounceStrategy,mr,206,43.2,23.86,14.04,1.17,1.19,5.72,35.49
AUDNZD,H4,ZScoreMRStrategy,mr,182,49.45,21.81,14.65,1.2,1.45,6.13,37.82
AUDNZD,H4,StochasticReversalStrategy,mr,318,41.82,22.66,20.72,1.11,0.82,3.99,27.58
AUDNZD,H4,CCIReversalStrategy,mr,267,55.81,96.21,10.37,1.52,3.27,12.32,59.51
AUDNZD,H4,WilliamsRStrategy,mr,323,57.89,167.64,5.91,1.73,4.23,12.98,74.39
AUDNZD,H4,DonchianBreakoutStrategy,breakout,129,51.94,96.44,5.13,2.1,5.58,25.56,75.79
AUDNZD,H4,VolatilityBreakoutStrategy,breakout,66,83.33,159.67,2.06,9.63,19.12,56.98,96.76
AUDNZD,H4,MomentumBurstStrategy,breakout,117,52.14,84.7,7.06,2.05,5.42,27.81,68.92
AUDNZD,H4,SqueezeBreakoutStrategy,breakout,97,35.05,1.29,12.29,1.02,0.15,1.2,21.88
