symbol,timeframe,strategy,category,total_trades,win_rate,total_return_pct,max_drawdown_pct,profit_factor,sharpe_ratio,expectancy_pips,composite_score
AUDJPY,H1,SupertrendStrategy,trend,41,90.24,97.79,1.04,19.8,28.52,60.79,98.54
AUDNZD,H4,VolatilityBreakoutStrategy,breakout,66,83.33,159.67,2.06,9.63,19.12,56.98,96.76
AUDUSD,H1,SupertrendStrategy,trend,61,90.16,173.81,1.05,16.98,25.2,36.71,98.52
CADJPY,M30,SupertrendStrategy,trend,99,84.85,336.63,2.08,10.84,18.21,37.59,97.73
CHFJPY,H1,SupertrendStrategy,trend,37,94.59,94.55,1.03,44.46,39.88,85.21,99.19
DE30,M30,SupertrendStrategy,trend,145,91.03,1098.06,1.99,25.31,17.89,71.85,98.65
ETHUSD,H4,SupertrendStrategy,trend,25,96.0,59.24,1.0,49.59,46.87,10528.64,99.4
EU50,H1,SupertrendStrategy,trend,28,78.57,45.55,1.99,7.12,17.0,28.45,91.03
EURAUD,H1,SupertrendStrategy,trend,33,90.91,74.19,1.06,16.57,27.93,69.55,98.64
EURCAD,H1,SupertrendStrategy,trend,64,90.62,189.51,2.09,16.11,24.41,43.65,98.59
EURCHF,H1,SupertrendStrategy,trend,73,84.93,196.34,1.07,10.34,19.46,28.37,97.74
EURGBP,H1,SupertrendStrategy,trend,83,91.57,301.58,1.11,15.58,22.65,22.43,98.74
EURJPY,H1,SupertrendStrategy,trend,44,93.18,116.71,1.03,27.38,32.77,86.71,98.98
EURNZD,H1,SupertrendStrategy,trend,35,88.57,75.78,1.04,13.48,24.87,76.08,98.29
EURUSD,H1,SupertrendStrategy,trend,90,92.22,366.98,1.08,17.45,22.32,40.33,98.83
GBPAUD,M30,SupertrendStrategy,trend,72,90.28,229.27,2.05,16.17,23.58,56.64,98.54
GBPCAD,H1,SupertrendStrategy,trend,74,90.54,241.98,1.07,15.62,23.29,49.68,98.58
GBPCHF,H1,SupertrendStrategy,trend,63,84.13,153.05,2.06,10.28,20.02,35.53,97.62
GBPJPY,H1,SupertrendStrategy,trend,56,94.64,174.39,1.03,38.59,33.85,95.3,99.2
GBPUSD,H1,SupertrendStrategy,trend,99,94.95,494.0,1.07,37.63,25.05,51.19,99.24
JP225,M30,SupertrendStrategy,trend,141,95.74,1264.06,1.0,52.05,19.66,187.44,99.36
NZDJPY,H1,SupertrendStrategy,trend,32,93.75,76.14,1.04,30.42,36.51,66.95,99.06
NZDUSD,H1,SupertrendStrategy,trend,52,90.38,136.72,1.06,17.61,26.54,35.69,98.56
SOLUSD,D1,VolatilityBreakoutStrategy,breakout,28,92.86,64.01,1.0,25.09,34.1,1086.2,98.93
TONUSD,H4,VolatilityBreakoutStrategy,breakout,47,74.47,77.27,1.99,5.52,14.15,178.59,87.21
UK100,H1,SupertrendStrategy,trend,65,93.85,221.48,1.0,30.71,30.01,41.86,99.08
US100,H1,SupertrendStrategy,trend,118,93.22,714.89,1.0,27.38,20.88,117.39,98.98
US30,H1,SupertrendStrategy,trend,129,90.7,799.17,1.99,20.05,18.56,187.97,98.61
US500,H4,SupertrendStrategy,trend,28,85.71,54.51,1.0,12.41,23.48,50.76,97.86
USDCAD,H1,SupertrendStrategy,trend,70,90.0,214.8,1.06,18.7,24.91,40.23,98.5
USDCHF,H1,SupertrendStrategy,trend,78,88.46,248.85,1.07,17.79,23.3,34.26,98.27
USDJPY,H1,SupertrendStrategy,trend,80,91.25,288.9,2.04,24.84,25.1,76.32,98.69
USDMXN,H1,SupertrendStrategy,trend,105,90.48,463.31,1.11,16.34,20.42,865.68,98.57
USDNOK,H1,SupertrendStrategy,trend,65,87.69,179.65,1.05,13.99,22.61,648.23,98.15
USDPLN,H1,SupertrendStrategy,trend,84,89.29,291.96,2.07,17.31,22.7,220.79,98.39
USDSGD,H1,SupertrendStrategy,trend,53,88.68,131.12,1.11,13.78,23.89,32.47,98.3
USDZAR,H1,SupertrendStrategy,trend,71,88.73,210.54,1.07,15.01,22.96,984.94,98.31
XAGUSD,H1,SupertrendStrategy,trend,82,90.24,297.59,1.01,20.2,23.42,323.37,98.54
XAUUSD,M30,SupertrendStrategy,trend,121,90.08,658.65,2.01,23.78,20.03,984.68,98.51
XRPUSD,H4,SupertrendStrategy,trend,24,91.67,51.52,1.0,25.11,33.72,357.13,98.75
