symbol,timeframe,strategy,train_return,train_sharpe,val_return,val_sharpe,robustness_ratio,is_validated
AUDJPY,H1,SupertrendStrategy,883.1,10.25,52.71,11.4,0.06,True
AUDNZD,H4,VolatilityBreakoutStrategy,446.09,9.88,17.15,4.23,0.038,True
AUDUSD,H1,SupertrendStrategy,1073.51,10.21,83.46,20.22,0.078,True
CADJPY,M30,SupertrendStrategy,7591.89,8.13,153.97,15.88,0.02,True
CHFJPY,H1,SupertrendStrategy,906.64,11.77,77.79,19.35,0.086,True
DE30,M30,SupertrendStrategy,1098.06,17.89,127.36,33.34,0.116,True
ETHUSD,H4,SupertrendStrategy,212.78,23.41,34.76,34.76,0.163,True
EU50,H1,SupertrendStrategy,236.04,10.39,10.15,3.55,0.043,True
EURAUD,H1,SupertrendStrategy,540.55,11.13,33.57,14.38,0.062,True
EURCAD,H1,SupertrendStrategy,1241.63,10.27,63.2,13.65,0.051,True
EURCHF,H1,SupertrendStrategy,2009.42,9.51,70.08,13.34,0.035,True
EURGBP,H1,SupertrendStrategy,1107.85,9.8,91.02,18.73,0.082,True
EURJPY,H1,SupertrendStrategy,1082.3,10.21,59.54,14.36,0.055,True
EURNZD,H1,SupertrendStrategy,472.41,10.57,45.91,19.06,0.097,True
EURUSD,H1,SupertrendStrategy,1445.78,8.8,79.32,13.79,0.055,True
GBPAUD,M30,SupertrendStrategy,2075.41,8.73,87.73,11.5,0.042,True
GBPCAD,H1,SupertrendStrategy,1973.3,10.31,45.77,7.95,0.023,True
GBPCHF,H1,SupertrendStrategy,923.29,8.94,57.94,10.41,0.063,True
GBPJPY,H1,SupertrendStrategy,990.65,9.65,43.21,11.69,0.044,True
GBPUSD,H1,SupertrendStrategy,1475.51,9.89,59.65,10.56,0.04,True
JP225,M30,SupertrendStrategy,1264.06,19.66,48.51,22.17,0.038,True
NZDJPY,H1,SupertrendStrategy,551.4,11.27,46.71,11.66,0.085,True
NZDUSD,H1,SupertrendStrategy,655.51,10.01,84.7,18.13,0.129,True
SOLUSD,D1,VolatilityBreakoutStrategy,99.39,12.11,11.78,12.28,0.119,True
TONUSD,H4,VolatilityBreakoutStrategy,166.03,10.32,29.24,20.28,0.176,True
UK100,H1,SupertrendStrategy,917.07,11.27,33.04,9.84,0.036,True
US100,H1,SupertrendStrategy,714.89,20.88,45.68,146.53,0.064,True
US30,H1,SupertrendStrategy,799.17,18.56,57.55,18.07,0.072,True
US500,H4,SupertrendStrategy,188.0,20.4,17.13,19.29,0.091,True
USDCAD,H1,SupertrendStrategy,1391.2,10.47,70.4,13.96,0.051,True
USDCHF,H1,SupertrendStrategy,1528.39,11.59,55.01,13.95,0.036,True
USDJPY,H1,SupertrendStrategy,2044.42,11.04,56.57,18.9,0.028,True
USDMXN,H1,SupertrendStrategy,1854.04,9.31,78.18,11.13,0.042,True
USDNOK,H1,SupertrendStrategy,902.16,10.22,41.44,13.69,0.046,True
USDPLN,H1,SupertrendStrategy,1723.39,9.42,52.09,12.03,0.03,True
USDSGD,H1,SupertrendStrategy,671.98,9.62,62.05,15.66,0.092,True
USDZAR,H1,SupertrendStrategy,1700.02,9.35,64.02,10.13,0.038,True
XAGUSD,H1,SupertrendStrategy,1744.88,8.78,98.35,21.46,0.056,True
XAUUSD,M30,SupertrendStrategy,658.65,20.03,31.78,26.47,0.048,True
XRPUSD,H4,SupertrendStrategy,140.99,18.88,19.51,310.56,0.138,True
