symbol,timeframe,strategy,test_bars,total_trades,win_rate,total_return_pct,max_drawdown_pct
AUDJPY,H1,SupertrendStrategy,3720,43,58.14,34.83,4.23
AUDNZD,H4,VolatilityBreakoutStrategy,909,42,71.43,55.78,3.14
AUDUSD,H1,SupertrendStrategy,3720,34,76.47,51.94,2.12
CADJPY,M30,SupertrendStrategy,7469,77,58.44,66.51,4.29
CHFJPY,H1,SupertrendStrategy,3720,26,53.85,16.21,5.13
DE30,M30,SupertrendStrategy,6845,34,91.18,79.27,1.99
ETHUSD,H4,SupertrendStrategy,1293,17,88.24,36.1,1.0
EU50,H1,SupertrendStrategy,2119,25,68.0,29.21,2.97
EURAUD,H1,SupertrendStrategy,3720,38,73.68,55.62,2.07
EURCAD,H1,SupertrendStrategy,3720,43,74.42,65.47,1.06
EURCHF,H1,SupertrendStrategy,3720,35,54.29,21.53,3.13
EURGBP,H1,SupertrendStrategy,3720,45,77.78,75.59,3.24
EURJPY,H1,SupertrendStrategy,3720,42,76.19,68.54,2.06
EURNZD,H1,SupertrendStrategy,3716,23,73.91,30.84,2.05
EURUSD,H1,SupertrendStrategy,3720,43,69.77,56.42,2.08
GBPAUD,M30,SupertrendStrategy,7468,66,57.58,55.91,3.12
GBPCAD,H1,SupertrendStrategy,3720,52,76.92,91.87,2.07
GBPCHF,H1,SupertrendStrategy,3720,48,62.5,48.14,3.14
GBPJPY,H1,SupertrendStrategy,3720,35,74.29,51.79,2.03
GBPUSD,H1,SupertrendStrategy,3720,36,75.0,54.15,2.08
JP225,M30,SupertrendStrategy,7055,35,88.57,77.48,1.0
NZDJPY,H1,SupertrendStrategy,3717,38,52.63,22.1,4.09
NZDUSD,H1,SupertrendStrategy,3717,33,60.61,28.15,3.32
SOLUSD,D1,VolatilityBreakoutStrategy,191,8,50.0,4.88,2.97
TONUSD,H4,VolatilityBreakoutStrategy,437,18,77.78,24.39,1.99
UK100,H1,SupertrendStrategy,3430,42,83.33,86.4,1.99
US100,H1,SupertrendStrategy,3525,31,96.77,79.32,1.0
US30,H1,SupertrendStrategy,3525,29,96.55,72.36,1.0
US500,H4,SupertrendStrategy,900,11,54.55,7.1,1.99
USDCAD,H1,SupertrendStrategy,3720,49,73.47,73.59,2.12
USDCHF,H1,SupertrendStrategy,3720,32,71.88,41.85,1.07
USDJPY,H1,SupertrendStrategy,3720,52,69.23,71.31,2.06
USDMXN,H1,SupertrendStrategy,3564,51,72.55,73.92,2.17
USDNOK,H1,SupertrendStrategy,3560,46,69.57,60.36,2.07
USDPLN,H1,SupertrendStrategy,3562,43,58.14,33.32,6.31
USDSGD,H1,SupertrendStrategy,3602,25,68.0,26.77,4.23
USDZAR,H1,SupertrendStrategy,3711,42,69.05,51.1,3.19
XAGUSD,H1,SupertrendStrategy,3529,45,82.22,91.73,1.99
XAUUSD,M30,SupertrendStrategy,7094,21,90.48,42.63,1.01
XRPUSD,H4,SupertrendStrategy,1293,19,73.68,25.48,1.99
