symbol,timeframe,strategy,category,train_bars,long_signals,short_signals,total_signals
AUDUSD,M30,EMACrossoverStrategy,trend,34559,765,765,1530
AUDUSD,M30,SupertrendStrategy,trend,34559,60,61,121
AUDUSD,M30,MACDTrendStrategy,trend,34559,1347,1346,2693
AUDUSD,M30,ADXTrendStrategy,trend,34559,854,855,1709
AUDUSD,M30,IchimokuStrategy,trend,34559,384,344,728
AUDUSD,M30,HullMATrendStrategy,trend,34559,1919,1920,3839
AUDUSD,M30,RSIExtremesStrategy,mr,34559,1055,1167,2222
AUDUSD,M30,BollingerBounceStrategy,mr,34559,1522,1555,3077
AUDUSD,M30,ZScoreMRStrategy,mr,34559,1003,1037,2040
AUDUSD,M30,StochasticReversalStrategy,mr,34559,2805,2860,5665
AUDUSD,M30,CCIReversalStrategy,mr,34559,1621,1671,3292
AUDUSD,M30,WilliamsRStrategy,mr,34559,2384,2399,4783
AUDUSD,M30,DonchianBreakoutStrategy,breakout,34559,2119,2032,4151
AUDUSD,M30,VolatilityBreakoutStrategy,breakout,34559,632,643,1275
AUDUSD,M30,MomentumBurstStrategy,breakout,34559,1100,1206,2306
AUDUSD,M30,SqueezeBreakoutStrategy,breakout,34559,681,629,1310
AUDUSD,M30,KeltnerBreakoutStrategy,breakout,34559,2506,2544,5050
AUDUSD,M30,PivotBreakoutStrategy,breakout,34559,5780,5858,11638
AUDUSD,H1,EMACrossoverStrategy,trend,17215,379,378,757
AUDUSD,H1,SupertrendStrategy,trend,17215,30,29,59
AUDUSD,H1,MACDTrendStrategy,trend,17215,675,674,1349
AUDUSD,H1,ADXTrendStrategy,trend,17215,411,418,829
AUDUSD,H1,IchimokuStrategy,trend,17215,179,177,356
AUDUSD,H1,HullMATrendStrategy,trend,17215,942,942,1884
AUDUSD,H1,RSIExtremesStrategy,mr,17215,528,608,1136
AUDUSD,H1,BollingerBounceStrategy,mr,17215,687,715,1402
AUDUSD,H1,ZScoreMRStrategy,mr,17215,477,501,978
AUDUSD,H1,StochasticReversalStrategy,mr,17215,1388,1465,2853
AUDUSD,H1,CCIReversalStrategy,mr,17215,787,851,1638
AUDUSD,H1,WilliamsRStrategy,mr,17215,1116,1186,2302
AUDUSD,H1,DonchianBreakoutStrategy,breakout,17215,1005,1031,2036
AUDUSD,H1,VolatilityBreakoutStrategy,breakout,17215,286,298,584
AUDUSD,H1,MomentumBurstStrategy,breakout,17215,1155,1280,2435
AUDUSD,H1,SqueezeBreakoutStrategy,breakout,17215,351,316,667
AUDUSD,H1,KeltnerBreakoutStrategy,breakout,17215,1243,1324,2567
AUDUSD,H1,PivotBreakoutStrategy,breakout,17215,2864,2848,5712
AUDUSD,H4,EMACrossoverStrategy,trend,4203,105,105,210
AUDUSD,H4,SupertrendStrategy,trend,4203,5,6,11
AUDUSD,H4,MACDTrendStrategy,trend,4203,182,182,364
AUDUSD,H4,ADXTrendStrategy,trend,4203,105,106,211
AUDUSD,H4,IchimokuStrategy,trend,4203,38,54,92
AUDUSD,H4,HullMATrendStrategy,trend,4203,243,244,487
AUDUSD,H4,RSIExtremesStrategy,mr,4203,138,143,281
AUDUSD,H4,BollingerBounceStrategy,mr,4203,136,158,294
AUDUSD,H4,ZScoreMRStrategy,mr,4203,112,117,229
AUDUSD,H4,StochasticReversalStrategy,mr,4203,336,357,693
AUDUSD,H4,CCIReversalStrategy,mr,4203,184,217,401
AUDUSD,H4,WilliamsRStrategy,mr,4203,266,313,579
AUDUSD,H4,DonchianBreakoutStrategy,breakout,4203,238,287,525
AUDUSD,H4,VolatilityBreakoutStrategy,breakout,4203,65,64,129
AUDUSD,H4,MomentumBurstStrategy,breakout,4203,667,715,1382
AUDUSD,H4,SqueezeBreakoutStrategy,breakout,4203,81,78,159
AUDUSD,H4,KeltnerBreakoutStrategy,breakout,4203,258,296,554
AUDUSD,H4,PivotBreakoutStrategy,breakout,4203,725,705,1430
AUDUSD,D1,EMACrossoverStrategy,trend,584,12,13,25
AUDUSD,D1,SupertrendStrategy,trend,584,0,0,0
AUDUSD,D1,MACDTrendStrategy,trend,584,25,25,50
AUDUSD,D1,ADXTrendStrategy,trend,584,10,11,21
AUDUSD,D1,IchimokuStrategy,trend,584,8,6,14
AUDUSD,D1,HullMATrendStrategy,trend,584,31,30,61
AUDUSD,D1,RSIExtremesStrategy,mr,584,19,16,35
AUDUSD,D1,BollingerBounceStrategy,mr,584,24,25,49
AUDUSD,D1,ZScoreMRStrategy,mr,584,15,16,31
AUDUSD,D1,StochasticReversalStrategy,mr,584,58,42,100
AUDUSD,D1,CCIReversalStrategy,mr,584,29,27,56
AUDUSD,D1,WilliamsRStrategy,mr,584,46,33,79
AUDUSD,D1,DonchianBreakoutStrategy,breakout,584,26,39,65
AUDUSD,D1,VolatilityBreakoutStrategy,breakout,584,5,8,13
AUDUSD,D1,MomentumBurstStrategy,breakout,584,138,140,278
AUDUSD,D1,SqueezeBreakoutStrategy,breakout,584,11,11,22
AUDUSD,D1,KeltnerBreakoutStrategy,breakout,584,19,30,49
AUDUSD,D1,PivotBreakoutStrategy,breakout,584,99,108,207
EURUSD,M30,EMACrossoverStrategy,trend,34558,770,771,1541
EURUSD,M30,SupertrendStrategy,trend,34558,70,70,140
EURUSD,M30,MACDTrendStrategy,trend,34558,1324,1324,2648
EURUSD,M30,ADXTrendStrategy,trend,34558,910,908,1818
EURUSD,M30,IchimokuStrategy,trend,34558,365,378,743
EURUSD,M30,HullMATrendStrategy,trend,34558,1921,1921,3842
EURUSD,M30,RSIExtremesStrategy,mr,34558,1109,1163,2272
EURUSD,M30,BollingerBounceStrategy,mr,34558,1670,1701,3371
EURUSD,M30,ZScoreMRStrategy,mr,34558,1060,1097,2157
EURUSD,M30,StochasticReversalStrategy,mr,34558,2805,2845,5650
EURUSD,M30,CCIReversalStrategy,mr,34558,1565,1655,3220
EURUSD,M30,WilliamsRStrategy,mr,34558,2408,2412,4820
EURUSD,M30,DonchianBreakoutStrategy,breakout,34558,2085,2069,4154
EURUSD,M30,VolatilityBreakoutStrategy,breakout,34558,773,742,1515
EURUSD,M30,MomentumBurstStrategy,breakout,34558,554,534,1088
EURUSD,M30,SqueezeBreakoutStrategy,breakout,34558,596,637,1233
EURUSD,M30,KeltnerBreakoutStrategy,breakout,34558,2658,2643,5301
EURUSD,M30,PivotBreakoutStrategy,breakout,34558,5894,5961,11855
EURUSD,H1,EMACrossoverStrategy,trend,17215,370,370,740
EURUSD,H1,SupertrendStrategy,trend,17215,44,44,88
