symbol,timeframe,strategy,category,total_trades,win_rate,total_return_pct,max_drawdown_pct,profit_factor,sharpe_ratio,expectancy_pips,composite_score
AUDUSD,M30,EMACrossoverStrategy,trend,910,47.8,276.52,16.6,1.22,1.46,4.57,50.48
AUDUSD,M30,SupertrendStrategy,trend,120,90.0,601.1,2.13,14.09,18.45,24.65,98.5
AUDUSD,M30,MACDTrendStrategy,trend,1329,47.93,640.05,17.85,1.27,1.66,4.32,54.28
AUDUSD,M30,ADXTrendStrategy,trend,852,39.2,181.4,22.29,1.17,1.13,4.64,35.55
AUDUSD,M30,IchimokuStrategy,trend,471,41.83,24.99,19.8,1.08,0.61,1.0,25.52
AUDUSD,M30,HullMATrendStrategy,trend,1172,43.34,447.29,16.59,1.22,1.4,5.03,53.63
AUDUSD,M30,RSIExtremesStrategy,mr,1642,52.62,1535.84,16.79,1.29,1.64,3.9,54.32
AUDUSD,M30,BollingerBounceStrategy,mr,1866,48.61,7373.31,13.25,1.32,1.58,4.59,54.6
AUDUSD,M30,ZScoreMRStrategy,mr,1692,52.84,1872.08,11.26,1.31,1.73,3.74,54.48
AUDUSD,M30,StochasticReversalStrategy,mr,2544,40.41,49.68,36.63,1.02,0.18,1.4,14.61
AUDUSD,M30,CCIReversalStrategy,mr,2229,54.55,12581.74,11.87,1.4,1.85,4.31,56.2
AUDUSD,M30,WilliamsRStrategy,mr,2701,53.94,20538.21,12.3,1.35,1.72,4.26,55.47
AUDUSD,M30,DonchianBreakoutStrategy,breakout,1243,47.63,10734.32,9.82,1.69,2.58,8.78,65.05
AUDUSD,M30,VolatilityBreakoutStrategy,breakout,1095,74.06,102677.06,6.09,5.88,10.61,16.98,87.87
AUDUSD,M30,MomentumBurstStrategy,breakout,696,49.14,1909.52,10.09,1.85,3.65,11.41,71.25
AUDUSD,M30,SqueezeBreakoutStrategy,breakout,789,35.23,6.56,41.63,1.01,0.09,0.86,12.73
AUDUSD,M30,KeltnerBreakoutStrategy,breakout,1475,54.37,53956.22,7.24,2.15,4.39,9.29,74.21
AUDUSD,M30,PivotBreakoutStrategy,breakout,2726,58.18,127647.46,14.39,2.13,4.88,8.56,75.4
AUDUSD,H1,EMACrossoverStrategy,trend,454,51.98,230.38,7.45,1.49,2.96,8.97,66.95
AUDUSD,H1,SupertrendStrategy,trend,59,91.53,171.33,1.05,20.77,27.4,37.23,98.73
AUDUSD,H1,MACDTrendStrategy,trend,696,50.14,354.85,10.36,1.4,2.43,7.75,62.77
