exit_time,direction,entry_price,exit_price,pnl_pips,pnl_dollars,reason,symbol
2025-06-11 15:00:00+00:00,LONG,0.64999,0.6534,34.11,195.9,tp,AUDUSD
2025-06-12 04:00:00+00:00,LONG,0.65068,0.64876,-19.24,-105.67,sl,AUDUSD
2025-06-13 04:00:00+00:00,SHORT,0.65257,0.64908,34.91,197.76,tp,AUDUSD
2025-06-23 21:00:00+00:00,LONG,0.64045,0.64553,50.79,202.92,tp,AUDUSD
2025-07-01 11:00:00+00:00,SHORT,0.65745,0.65902,-15.67,-109.59,sl,AUDUSD
2025-07-10 09:00:00+00:00,LONG,0.65139,0.65555,41.57,204.13,tp,AUDUSD
2025-07-14 15:00:00+00:00,SHORT,0.6592,0.6555,36.99,207.7,tp,AUDUSD
2025-07-18 11:00:00+00:00,LONG,0.64857,0.65132,27.47,210.36,tp,AUDUSD
2025-07-28 11:00:00+00:00,SHORT,0.65486,0.6518,30.62,215.04,tp,AUDUSD
2025-07-30 10:00:00+00:00,LONG,0.65144,0.6502,-12.44,-118.5,sl,AUDUSD
2025-07-30 16:00:00+00:00,SHORT,0.64865,0.64535,33.0,217.29,tp,AUDUSD
2025-08-01 16:00:00+00:00,LONG,0.64249,0.64636,38.68,222.25,tp,AUDUSD
2025-08-08 10:00:00+00:00,SHORT,0.65158,0.65335,-17.73,-119.95,sl,AUDUSD
2025-08-14 09:00:00+00:00,LONG,0.65542,0.65428,-11.39,-121.22,sl,AUDUSD
2025-08-19 16:00:00+00:00,SHORT,0.64997,0.64755,24.21,219.44,tp,AUDUSD
2025-08-22 18:00:00+00:00,LONG,0.64279,0.64633,35.4,225.8,tp,AUDUSD
2025-09-02 11:00:00+00:00,SHORT,0.65415,0.65161,25.44,228.41,tp,AUDUSD
2025-09-05 16:00:00+00:00,LONG,0.65418,0.65658,24.02,232.46,tp,AUDUSD
2025-09-12 15:00:00+00:00,SHORT,0.66595,0.66372,22.35,236.45,tp,AUDUSD
2025-09-24 09:00:00+00:00,LONG,0.65956,0.66236,28.05,242.61,tp,AUDUSD
2025-09-25 16:00:00+00:00,SHORT,0.65813,0.65514,29.91,247.74,tp,AUDUSD
2025-10-15 05:00:00+00:00,LONG,0.64609,0.6507,46.14,254.7,tp,AUDUSD
2025-10-16 21:00:00+00:00,SHORT,0.65064,0.64721,34.33,258.34,tp,AUDUSD
2025-10-21 05:00:00+00:00,LONG,0.6517,0.65066,-10.45,-143.45,sl,AUDUSD
2025-10-24 15:00:00+00:00,SHORT,0.65075,0.65184,-10.92,-141.54,sl,AUDUSD
2025-10-27 00:00:00+00:00,LONG,0.65014,0.65292,27.84,256.57,tp,AUDUSD
2025-10-29 21:00:00+00:00,SHORT,0.66105,0.65706,39.9,263.61,tp,AUDUSD
2025-11-13 02:00:00+00:00,LONG,0.65229,0.65508,27.86,266.72,tp,AUDUSD
2025-11-19 19:00:00+00:00,SHORT,0.64907,0.6458,32.68,272.95,tp,AUDUSD
2025-12-01 15:00:00+00:00,LONG,0.6538,0.65631,25.14,276.46,tp,AUDUSD
2025-12-09 06:00:00+00:00,SHORT,0.6629,0.66405,-11.47,-153.8,sl,AUDUSD
2025-12-10 21:00:00+00:00,LONG,0.66268,0.66567,29.87,280.12,tp,AUDUSD
2025-12-12 18:00:00+00:00,SHORT,0.66651,0.6639,26.1,284.6,tp,AUDUSD
2025-12-22 09:00:00+00:00,LONG,0.66062,0.66302,23.98,289.43,tp,AUDUSD
2025-05-29 16:00:00+00:00,LONG,1.1272,1.13551,83.1,198.32,tp,EURUSD
2025-06-06 16:00:00+00:00,SHORT,1.14168,1.13773,39.54,200.35,tp,EURUSD
2025-06-12 13:00:00+00:00,LONG,1.15451,1.15988,53.66,205.26,tp,EURUSD
2025-06-13 04:00:00+00:00,SHORT,1.16074,1.15427,64.69,209.78,tp,EURUSD
2025-06-23 20:00:00+00:00,LONG,1.14906,1.1558,67.44,214.03,tp,EURUSD
2025-07-03 16:00:00+00:00,SHORT,1.17838,1.17397,44.12,217.06,tp,EURUSD
2025-07-17 15:00:00+00:00,LONG,1.15933,1.15567,-36.56,-114.6,sl,EURUSD
2025-07-21 17:00:00+00:00,LONG,1.16464,1.16817,35.34,218.19,tp,EURUSD
2025-07-24 15:00:00+00:00,SHORT,1.17695,1.17404,29.14,221.52,tp,EURUSD
2025-07-30 14:00:00+00:00,LONG,1.15517,1.15273,-24.41,-119.02,sl,EURUSD
2025-07-30 16:00:00+00:00,SHORT,1.15303,1.14771,53.23,226.01,tp,EURUSD
2025-08-01 16:00:00+00:00,LONG,1.14057,1.14843,78.56,231.46,tp,EURUSD
2025-08-11 14:00:00+00:00,SHORT,1.16632,1.16325,30.69,232.73,tp,EURUSD
2025-08-12 16:00:00+00:00,LONG,1.16061,1.16479,41.76,238.75,tp,EURUSD
2025-08-14 11:00:00+00:00,SHORT,1.17003,1.16765,23.79,240.31,tp,EURUSD
2025-08-21 16:00:00+00:00,LONG,1.16431,1.16239,-19.22,-130.8,sl,EURUSD
2025-08-22 17:00:00+00:00,SHORT,1.16077,1.16245,-16.78,-130.1,sl,EURUSD
2025-08-22 18:00:00+00:00,LONG,1.16014,1.1658,56.64,244.13,tp,EURUSD
